frame_index,time,timestamp
114,1.9,2022-3-18 17.7.42.970
115,1.9166666666666667,2022-3-18 17.7.42.970
116,1.9333333333333333,2022-3-18 17.7.42.998
117,1.95,2022-3-18 17.7.42.998
118,1.9666666666666666,2022-3-18 17.7.43.40
119,1.9833333333333334,2022-3-18 17.7.43.40
120,2.0,2022-3-18 17.7.43.67
121,2.0166666666666666,2022-3-18 17.7.43.67
122,2.033333333333333,2022-3-18 17.7.43.95
123,2.05,2022-3-18 17.7.43.95
124,2.066666666666667,2022-3-18 17.7.43.137
125,2.0833333333333335,2022-3-18 17.7.43.137
126,2.1,2022-3-18 17.7.43.165
127,2.1166666666666667,2022-3-18 17.7.43.165
128,2.1333333333333333,2022-3-18 17.7.43.207
129,2.15,2022-3-18 17.7.43.207
130,2.1666666666666665,2022-3-18 17.7.43.234
